c,0.15407072225345328
v,0.1488100212549582
đ,0.08381510289555666
l,0.05286614328813508
t,0.0505220421983985
ch,0.03998232621186503
tr,0.0398604148942683
th,0.03851191482474871
h,0.037990263982181666
nh,0.03405563286487007
kh,0.03202248960044147
b,0.03178578021495751
m,0.03141696772884627
n,0.03044123767535482
,0.027034004694731856
s,0.025995663859987403
ng,0.024647588934371682
d,0.02021974716623592
ph,0.01671677416095899
r,0.01605053799111821
gi,0.013282284013248328
x,0.013162828638567412
qu,0.012066533864505952
k,0.008185166885423431
g,0.0074160336156998624
ngh,0.004568395008010806
p,0.0020050306552249746
gh,0.0009270613162589255
