coda,blank,acute,grave,hook,tilde,dot,total
ng,0.058771630272021945,0.021257335830256265,0.01087802509682837,0.0062512362449962606,0.01374556281695764,0.008651334997642611,0.11955512525870308
n,0.04099980051084694,0.014143533098028144,0.018108942362538568,0.006641123778156531,0.0034971284583703776,0.013752656574754088,0.09714318478269465
c,0,0,0.044857558618739884,0,0,0.035325254103454724,0.0801828127221946
t,0.0006932592460361102,0,0.021473023781340965,0,0,0.021194877164040237,0.043361160191417315
m,0.016701764907066534,0.008499063617348479,0.0058241759375449705,0.004715103177118253,0.0011556435445501997,0.003997781429861031,0.040893532613489464
nh,0.010591111770552917,0.010578855021813993,0.0042806262275859675,0.002792861117738678,0.0010081820573316024,0.004747038832094945,0.033998675027118105
p,0,0,0.008852680708372404,0,0,0.0077126650182405545,0.01656534572661296
ch,0,0,0.004360062183488887,0,0,0.00272659740724777,0.007086659590736657
